county,FIPS,Latitude,Longitude,JanTmp,JulTmp,JanSun,JulSun,Elevtn,#mcd,T,U,S,totalpop,p1,p2,p3
AUTAUGA,1001,324978,86523,474,810,130,261,290,4,145.7817,145.5609,145.8384,32259,24089,3163,2835
BALDWIN,1003,306283,87764,519,806,152,245,155,8,146.7053,140.5664,149.4863,78556,17040,14133,13782
BARBOUR,1005,318421,85315,488,810,152,258,220,5,138.1956,137.4882,138.5755,24756,13766,3144,3105
BIBB,1007,330071,87133,448,808,130,261,224,3,134.2193,132.2912,134.2193,15723,9602,5242,879
BLOUNT,1009,339935,86548,419,784,130,261,870,7,136.8101,133.666,138.9306,36459,10562,5812,5212
BULLOCK,1011,321058,85703,478,802,149,278,455,4,126.7155,125.4738,126.9066,10596,5986,2251,1290
BUTLER,1013,317676,86661,492,808,152,258,445,4,137.6814,136.4611,137.7987,21680,12820,5161,1913
CALHOUN,1015,337200,85824,428,792,130,261,565,6,163.7351,163.4542,163.8105,119761,83265,14487,8089
CHAMBERS,1017,328646,85267,442,792,149,278,745,6,143.3749,139.067,143.5301,39191,15358,12203,6618
CHEROKEE,1019,341695,85626,428,792,130,261,589,4,131.5254,127.0109,132.4737,18760,6659,4988,3700
CHILTON,1021,328567,86684,446,800,130,261,580,6,138.66,135.1447,139.1742,30612,11702,8643,3360
CHOCTAW,1023,320704,88259,474,805,152,258,350,4,130.0235,123.49,130.7511,16839,5217,4660,4289
CLARKE,1025,316890,87815,474,805,152,258,405,6,135.9222,129.7656,136.577,27702,8060,6705,6527
CLAY,1027,332643,85814,442,792,149,278,745,3,130.2947,125.9035,130.2947,13703,6167,5087,2449
CLEBURNE,1029,336268,85514,442,792,149,278,1175,3,130.0523,128.0695,130.0523,12595,7166,3583,1846
COFFEE,1031,313596,85935,505,805,152,258,195,6,146.4343,145.753,146.5169,38533,24412,7429,1958
COLBERT,1033,347270,87696,413,801,130,261,536,4,151.0747,150.2605,151.2097,54519,33365,8412,7891
CONECUH,1035,314246,86964,484,805,152,258,216,5,130.1156,127.4609,130.5591,15884,6870,3986,2260
COOSA,1037,329770,86143,442,792,149,278,660,3,126.8906,120.8614,126.8906,11377,4348,3529,3500
COVINGTON,1039,312687,86412,492,808,152,258,260,5,143.6321,141.4911,143.8447,36850,18168,9912,3976
CRENSHAW,1041,317336,86303,485,803,152,258,594,3,130.6142,127.3513,130.6142,14110,6818,3677,3615
CULLMAN,1043,341622,86824,409,783,130,261,802,11,144.3365,142.9813,145.9021,61642,20145,6807,6127
DALE,1045,313805,85660,505,805,152,258,470,5,145.6942,143.5253,146.3898,47821,20919,8932,8586
DALLAS,1047,323889,87044,491,817,149,278,147,6,152.1529,151.7282,152.1931,53981,36938,8045,4246
DE KALB,1049,344563,85812,396,768,130,261,1040,9,142.116,139.3921,143.8372,53658,15708,9397,4990
ELMORE,1051,325480,86182,460,797,149,278,290,6,141.4951,136.1563,142.7896,43390,12552,11530,6306
ESCAMBIA,1053,310894,87275,505,803,152,258,85,5,142.0048,137.3894,142.5082,38440,13672,11301,6309
ETOWAH,1055,340194,86015,428,792,130,261,565,7,162.5452,162.4183,162.5853,103057,77496,7505,7089
FAYETTE,1057,337154,87773,437,796,130,261,365,4,134.3592,132.4778,134.5053,18809,9727,3964,3533
FRANKLIN,1059,344559,87809,413,801,130,261,840,4,140.9167,139.3563,140.9927,28350,15669,5605,5280
GENEVA,1061,310930,85803,498,811,152,258,107,5,132.7214,126.2913,134.6024,24253,6335,5605,5130
GREENE,1063,328273,87923,474,811,149,278,110,4,126.0567,123.7938,126.2856,11021,5328,2293,2281
HALE,1065,327563,87626,474,811,149,278,220,7,124.152,121.2315,126.5609,15604,4461,2321,2132
HENRY,1067,314874,85267,506,813,152,258,371,4,130.7825,126.3753,130.9715,15302,6372,5480,2041
HOUSTON,1069,312017,85368,506,813,152,258,371,5,159.547,159.4996,159.5623,74632,63302,3890,3357
JACKSON,1071,347481,85929,411,786,130,261,615,8,144.2038,142.8894,145.2819,51407,20017,6607,6036
JEFFERSON,1073,335156,86829,442,799,130,261,620,17,190.5376,190.5133,190.5531,671324,543277,26519,17118
